technology,dst_region,region,agent,sector,type,year,capacity
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2050,24.59280000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2050,28.50870000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2050,0.65770000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,0.45610000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,7.66680000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,1.11300000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,25.97930000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,26.36160000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,29.38410000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2050,81.14380000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2050,15.74430000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2050,35.62340000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2050,39.82970000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2050,62.80230000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,0.05570000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,3.27520000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,23.35460000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,16.00220000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,31.81740000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,0.03530000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,1.61310000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,3.60620000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,7.04550000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,7.52520000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,10.91750000000
