,timeslice,region,technology,year,agent,category,sector,LCOE
22663,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,0.00000000000
22664,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,0.00000000000
22665,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,34.16935414760
22666,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,18.44353453015
22667,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,21.67996771799
22668,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,89.05394927830
22669,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,21.67996771799
22670,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,60.81683676557
22671,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,76.22711953083
22672,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,289.46058189005
22673,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,inf
22674,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,40.05830486551
22675,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,40.05830486551
22676,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,33.08758414479
22677,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,40.05830486551
22678,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,33.08758414479
22679,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,40.05830486551
22680,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,33.08758414479
22681,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,40.05830486551
22682,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,33.08758414479
22683,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,40.05830486551
22684,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,0.00000000000
22685,"('spring', 'all-week', 'night')",Kenya,CSP with Storage,2050,A1,retrofit,power,0.00000000000
22686,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,25.42718590255
22687,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,12.91051665353
22688,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,15.17602717287
22689,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,83.59009412514
22690,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,15.17602717287
22691,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,55.35298161241
22692,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,53.35915627198
22693,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,202.62306008581
22694,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,inf
22695,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,34.91585295665
22696,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,34.91585295665
22697,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,27.94513223593
22698,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,34.91585295665
22699,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,27.94513223593
22700,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,34.91585295665
22701,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,27.94513223593
22702,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,34.91585295665
22703,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,27.94513223593
22704,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,34.91585295665
22705,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,0.00000000000
22706,"('spring', 'all-week', 'night')",Kenya,CSP without Storage,2050,A1,retrofit,power,0.00000000000
22707,"('spring', 'all-week', 'night')",Kenya,Coal Power Plant,2050,A1,retrofit,power,27.10024820384
