,region,year,agent,replacement_,asset_,month,day,hour,LCOE,category,name
150,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Biomass Power Plant,winter,all-week,day,27.040817571162638,retrofit,A1
151,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Biomass Power Plant,winter,all-week,night,inf,retrofit,A1
152,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Geothermal Power Plant,autumn,all-week,day,27.04081757116263,retrofit,A1
153,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Geothermal Power Plant,autumn,all-week,night,inf,retrofit,A1
154,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Geothermal Power Plant,spring,all-week,day,27.04081757116263,retrofit,A1
155,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Geothermal Power Plant,spring,all-week,night,inf,retrofit,A1
156,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Geothermal Power Plant,summer,all-week,day,27.04081757116263,retrofit,A1
157,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Geothermal Power Plant,summer,all-week,night,inf,retrofit,A1
158,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Geothermal Power Plant,winter,all-week,day,27.04081757116263,retrofit,A1
159,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Geothermal Power Plant,winter,all-week,night,inf,retrofit,A1
160,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Large Hydropower Plant (Dam) (>100MW),autumn,all-week,day,27.04081757116263,retrofit,A1
161,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Large Hydropower Plant (Dam) (>100MW),autumn,all-week,night,inf,retrofit,A1
162,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Large Hydropower Plant (Dam) (>100MW),spring,all-week,day,27.04081757116263,retrofit,A1
